#    L    TT             EE             BB             TE             PP             TP             EP          
     1    0.11216E+04    0.00000E+00    0.00000E+00    0.00000E+00    0.35536E-07    0.32353E-02    0.00000E+00
     2    0.11303E+04    0.54881E-01    0.00000E+00    0.33975E+01    0.48856E-07    0.34385E-02   -0.16387E-04
     3    0.10520E+04    0.88313E-01    0.00000E+00    0.42488E+01    0.59417E-07    0.34180E-02   -0.19890E-04
     4    0.97943E+03    0.97755E-01    0.00000E+00    0.43572E+01    0.68419E-07    0.33264E-02   -0.19838E-04
     5    0.92351E+03    0.85339E-01    0.00000E+00    0.40266E+01    0.76210E-07    0.32083E-02   -0.17279E-04
     6    0.88286E+03    0.62030E-01    0.00000E+00    0.34917E+01    0.82991E-07    0.30824E-02   -0.13164E-04
     7    0.85454E+03    0.38882E-01    0.00000E+00    0.29011E+01    0.88945E-07    0.29583E-02   -0.84021E-05
     8    0.83534E+03    0.22214E-01    0.00000E+00    0.23453E+01    0.94200E-07    0.28367E-02   -0.38178E-05
     9    0.82313E+03    0.13102E-01    0.00000E+00    0.18704E+01    0.98866E-07    0.27168E-02   -0.49327E-07
    10    0.81633E+03    0.94193E-02    0.00000E+00    0.15012E+01    0.10301E-06    0.26007E-02    0.25673E-05
    11    0.81338E+03    0.82926E-02    0.00000E+00    0.12457E+01    0.10672E-06    0.24933E-02    0.39930E-05
    12    0.81438E+03    0.77399E-02    0.00000E+00    0.11013E+01    0.11003E-06    0.23962E-02    0.43285E-05
    13    0.81756E+03    0.69109E-02    0.00000E+00    0.10437E+01    0.11297E-06    0.23081E-02    0.37445E-05
    14    0.82197E+03    0.60053E-02    0.00000E+00    0.10440E+01    0.11561E-06    0.22271E-02    0.24668E-05
    15    0.82787E+03    0.53140E-02    0.00000E+00    0.10832E+01    0.11796E-06    0.21503E-02    0.91686E-06
    16    0.83565E+03    0.50432E-02    0.00000E+00    0.11456E+01    0.12006E-06    0.20756E-02   -0.49529E-06
    17    0.84520E+03    0.51886E-02    0.00000E+00    0.12161E+01    0.12194E-06    0.20043E-02   -0.15692E-05
    18    0.85558E+03    0.55084E-02    0.00000E+00    0.12831E+01    0.12362E-06    0.19377E-02   -0.22016E-05
    19    0.86760E+03    0.58698E-02    0.00000E+00    0.13412E+01    0.12510E-06    0.18752E-02   -0.24671E-05
    20    0.87960E+03    0.62506E-02    0.00000E+00    0.13855E+01    0.12641E-06    0.18156E-02   -0.24585E-05
    21    0.89191E+03    0.66954E-02    0.00000E+00    0.14220E+01    0.12755E-06    0.17584E-02   -0.21731E-05
    22    0.90481E+03    0.73364E-02    0.00000E+00    0.14571E+01    0.12856E-06    0.17033E-02   -0.16240E-05
    23    0.91809E+03    0.82282E-02    0.00000E+00    0.14923E+01    0.12944E-06    0.16506E-02   -0.98204E-06
    24    0.93183E+03    0.93666E-02    0.00000E+00    0.15284E+01    0.13019E-06    0.16009E-02   -0.43873E-06
    25    0.94596E+03    0.10761E-01    0.00000E+00    0.15673E+01    0.13084E-06    0.15539E-02   -0.11656E-06
    26    0.96029E+03    0.12379E-01    0.00000E+00    0.16114E+01    0.13138E-06    0.15094E-02   -0.76480E-07
    27    0.97505E+03    0.14178E-01    0.00000E+00    0.16579E+01    0.13183E-06    0.14670E-02   -0.20393E-06
    28    0.99009E+03    0.16145E-01    0.00000E+00    0.17040E+01    0.13220E-06    0.14264E-02   -0.36693E-06
    29    0.10055E+04    0.18288E-01    0.00000E+00    0.17477E+01    0.13248E-06    0.13878E-02   -0.53502E-06
    30    0.10211E+04    0.20624E-01    0.00000E+00    0.17858E+01    0.13268E-06    0.13513E-02   -0.70823E-06
    31    0.10369E+04    0.23140E-01    0.00000E+00    0.18162E+01    0.13281E-06    0.13167E-02   -0.90746E-06
    32    0.10530E+04    0.25807E-01    0.00000E+00    0.18364E+01    0.13287E-06    0.12833E-02   -0.11374E-05
    33    0.10695E+04    0.28638E-01    0.00000E+00    0.18437E+01    0.13288E-06    0.12509E-02   -0.13181E-05
    34    0.10862E+04    0.31662E-01    0.00000E+00    0.18375E+01    0.13283E-06    0.12194E-02   -0.13640E-05
    35    0.11030E+04    0.34901E-01    0.00000E+00    0.18219E+01    0.13274E-06    0.11886E-02   -0.12514E-05
    36    0.11200E+04    0.38375E-01    0.00000E+00    0.17999E+01    0.13259E-06    0.11589E-02   -0.99790E-06
    37    0.11370E+04    0.42077E-01    0.00000E+00    0.17676E+01    0.13240E-06    0.11306E-02   -0.72470E-06
    38    0.11545E+04    0.46004E-01    0.00000E+00    0.17227E+01    0.13217E-06    0.11042E-02   -0.54583E-06
    39    0.11724E+04    0.50167E-01    0.00000E+00    0.16673E+01    0.13190E-06    0.10793E-02   -0.44504E-06
    40    0.11904E+04    0.54586E-01    0.00000E+00    0.16044E+01    0.13160E-06    0.10555E-02   -0.37372E-06
    41    0.12086E+04    0.59284E-01    0.00000E+00    0.15358E+01    0.13126E-06    0.10321E-02   -0.29413E-06
    42    0.12268E+04    0.64259E-01    0.00000E+00    0.14596E+01    0.13089E-06    0.10093E-02   -0.21136E-06
    43    0.12452E+04    0.69510E-01    0.00000E+00    0.13729E+01    0.13049E-06    0.98713E-03   -0.14115E-06
    44    0.12635E+04    0.75017E-01    0.00000E+00    0.12739E+01    0.13006E-06    0.96564E-03   -0.99163E-07
    45    0.12822E+04    0.80772E-01    0.00000E+00    0.11607E+01    0.12961E-06    0.94495E-03   -0.10105E-06
    46    0.13012E+04    0.86771E-01    0.00000E+00    0.10302E+01    0.12914E-06    0.92509E-03   -0.15663E-06
