#    L    TT             EE             BB             TE          
     1    0.11216E+04    0.00000E+00    0.00000E+00    0.00000E+00
     2    0.11303E+04    0.54882E-01    0.14308E-05    0.33975E+01
     3    0.10520E+04    0.88316E-01    0.28621E-05    0.42488E+01
     4    0.97944E+03    0.97760E-01    0.47713E-05    0.43572E+01
     5    0.92353E+03    0.85346E-01    0.71591E-05    0.40266E+01
     6    0.88288E+03    0.62040E-01    0.10026E-04    0.34917E+01
     7    0.85457E+03    0.38895E-01    0.13373E-04    0.29011E+01
     8    0.83538E+03    0.22231E-01    0.17202E-04    0.23453E+01
     9    0.82317E+03    0.13124E-01    0.21513E-04    0.18704E+01
    10    0.81638E+03    0.94456E-02    0.26308E-04    0.15012E+01
    11    0.81344E+03    0.83242E-02    0.31589E-04    0.12457E+01
    12    0.81445E+03    0.77772E-02    0.37356E-04    0.11013E+01
    13    0.81764E+03    0.69545E-02    0.43612E-04    0.10436E+01
    14    0.82206E+03    0.60557E-02    0.50358E-04    0.10440E+01
    15    0.82798E+03    0.53716E-02    0.57596E-04    0.10832E+01
    16    0.83577E+03    0.51085E-02    0.65328E-04    0.11455E+01
    17    0.84533E+03    0.52621E-02    0.73555E-04    0.12160E+01
    18    0.85572E+03    0.55907E-02    0.82279E-04    0.12830E+01
    19    0.86776E+03    0.59613E-02    0.91503E-04    0.13411E+01
    20    0.87978E+03    0.63517E-02    0.10123E-03    0.13853E+01
    21    0.89210E+03    0.68068E-02    0.11145E-03    0.14218E+01
    22    0.90502E+03    0.74585E-02    0.12219E-03    0.14569E+01
    23    0.91833E+03    0.83614E-02    0.13342E-03    0.14921E+01
    24    0.93208E+03    0.95115E-02    0.14517E-03    0.15282E+01
    25    0.94623E+03    0.10918E-01    0.15743E-03    0.15670E+01
    26    0.96058E+03    0.12549E-01    0.17019E-03    0.16111E+01
    27    0.97536E+03    0.14361E-01    0.18347E-03    0.16576E+01
    28    0.99043E+03    0.16341E-01    0.19726E-03    0.17036E+01
    29    0.10058E+04    0.18499E-01    0.21157E-03    0.17472E+01
    30    0.10215E+04    0.20850E-01    0.22639E-03    0.17853E+01
    31    0.10373E+04    0.23380E-01    0.24172E-03    0.18156E+01
    32    0.10534E+04    0.26064E-01    0.25758E-03    0.18357E+01
    33    0.10699E+04    0.28911E-01    0.27395E-03    0.18430E+01
    34    0.10867E+04    0.31952E-01    0.29084E-03    0.18367E+01
    35    0.11035E+04    0.35208E-01    0.30824E-03    0.18211E+01
    36    0.11205E+04    0.38699E-01    0.32617E-03    0.17990E+01
    37    0.11376E+04    0.42419E-01    0.34461E-03    0.17666E+01
    38    0.11551E+04    0.46365E-01    0.36357E-03    0.17216E+01
    39    0.11730E+04    0.50546E-01    0.38305E-03    0.16661E+01
    40    0.11910E+04    0.54985E-01    0.40304E-03    0.16031E+01
    41    0.12092E+04    0.59702E-01    0.42355E-03    0.15344E+01
    42    0.12275E+04    0.64699E-01    0.44458E-03    0.14581E+01
    43    0.12459E+04    0.69970E-01    0.46612E-03    0.13714E+01
    44    0.12642E+04    0.75499E-01    0.48818E-03    0.12723E+01
    45    0.12830E+04    0.81275E-01    0.51075E-03    0.11589E+01
    46    0.13020E+04    0.87296E-01    0.53383E-03    0.10283E+01
    47    0.13212E+04    0.93565E-01    0.55743E-03    0.88207E+00
    48    0.13404E+04    0.10009E+00    0.58153E-03    0.72596E+00
    49    0.13599E+04    0.10687E+00    0.60614E-03    0.56503E+00
    50    0.13797E+04    0.11387E+00    0.63126E-03    0.39756E+00
    51    0.13997E+04    0.12108E+00    0.65689E-03    0.22001E+00
    52    0.14200E+04    0.12857E+00    0.68302E-03    0.27154E-01
    53    0.14404E+04    0.13650E+00    0.70965E-03   -0.18479E+00
    54    0.14608E+04    0.14484E+00    0.73679E-03   -0.41165E+00
    55    0.14812E+04    0.15358E+00    0.76443E-03   -0.64913E+00
    56    0.15020E+04    0.16255E+00    0.79258E-03   -0.89903E+00
    57    0.15231E+04    0.17167E+00    0.82122E-03   -0.11612E+01
    58    0.15445E+04    0.18093E+00    0.85036E-03   -0.14361E+01
    59    0.15661E+04    0.19039E+00    0.88000E-03   -0.17245E+01
    60    0.15878E+04    0.20009E+00    0.91014E-03   -0.20254E+01
    61    0.16100E+04    0.21014E+00    0.94078E-03   -0.23379E+01
    62    0.16320E+04    0.22052E+00    0.97191E-03   -0.26631E+01
    63    0.16542E+04    0.23118E+00    0.10035E-02   -0.30019E+01
    64    0.16768E+04    0.24213E+00    0.10357E-02   -0.33556E+01
