#    L    TT             EE             TE
     2    0.11296E+04    0.54881E-01    0.33937E+01
     3    0.10514E+04    0.88313E-01    0.42454E+01
     4    0.97883E+03    0.97755E-01    0.43547E+01
     5    0.92291E+03    0.85339E-01    0.40251E+01
     6    0.88224E+03    0.62030E-01    0.34908E+01
     7    0.85391E+03    0.38882E-01    0.29006E+01
     8    0.83469E+03    0.22214E-01    0.23449E+01
     9    0.82245E+03    0.13102E-01    0.18701E+01
    10    0.81562E+03    0.94193E-02    0.15009E+01
    11    0.81264E+03    0.82926E-02    0.12455E+01
    12    0.81361E+03    0.77399E-02    0.11011E+01
    13    0.81676E+03    0.69109E-02    0.10435E+01
    14    0.82115E+03    0.60053E-02    0.10438E+01
    15    0.82703E+03    0.53140E-02    0.10830E+01
    16    0.83479E+03    0.50432E-02    0.11454E+01
    17    0.84432E+03    0.51886E-02    0.12159E+01
    18    0.85469E+03    0.55084E-02    0.12829E+01
    19    0.86671E+03    0.58697E-02    0.13409E+01
    20    0.87869E+03    0.62505E-02    0.13852E+01
    21    0.89097E+03    0.66954E-02    0.14217E+01
    22    0.90383E+03    0.73363E-02    0.14568E+01
    23    0.91710E+03    0.82280E-02    0.14920E+01
    24    0.93082E+03    0.93665E-02    0.15281E+01
    25    0.94495E+03    0.10761E-01    0.15669E+01
    26    0.95929E+03    0.12379E-01    0.16111E+01
    27    0.97407E+03    0.14178E-01    0.16576E+01
    28    0.98911E+03    0.16144E-01    0.17036E+01
    29    0.10045E+04    0.18288E-01    0.17472E+01
    30    0.10202E+04    0.20624E-01    0.17854E+01
    31    0.10359E+04    0.23139E-01    0.18157E+01
    32    0.10521E+04    0.25807E-01    0.18359E+01
    33    0.10686E+04    0.28638E-01    0.18432E+01
    34    0.10853E+04    0.31662E-01    0.18369E+01
    35    0.11022E+04    0.34901E-01    0.18214E+01
    36    0.11191E+04    0.38375E-01    0.17994E+01
    37    0.11362E+04    0.42077E-01    0.17671E+01
    38    0.11537E+04    0.46003E-01    0.17221E+01
    39    0.11716E+04    0.50166E-01    0.16666E+01
    40    0.11896E+04    0.54586E-01    0.16036E+01
    41    0.12078E+04    0.59283E-01    0.15350E+01
    42    0.12260E+04    0.64259E-01    0.14588E+01
    43    0.12443E+04    0.69509E-01    0.13722E+01
    44    0.12627E+04    0.75016E-01    0.12732E+01
    45    0.12814E+04    0.80771E-01    0.11600E+01
    46    0.13004E+04    0.86770E-01    0.10294E+01
    47    0.13196E+04    0.93016E-01    0.88327E+00
    48    0.13388E+04    0.99521E-01    0.72723E+00
    49    0.13582E+04    0.10627E+00    0.56636E+00
    50    0.13780E+04    0.11325E+00    0.39896E+00
    51    0.13980E+04    0.12044E+00    0.22150E+00
    52    0.14183E+04    0.12791E+00    0.28744E-01
    53    0.14387E+04    0.13581E+00   -0.18310E+00
    54    0.14590E+04    0.14413E+00   -0.40987E+00
    55    0.14794E+04    0.15283E+00   -0.64726E+00
    56    0.15002E+04    0.16179E+00   -0.89710E+00
    57    0.15213E+04    0.17088E+00   -0.11592E+01
    58    0.15426E+04    0.18012E+00   -0.14341E+01
    59    0.15642E+04    0.18955E+00   -0.17224E+01
    60    0.15859E+04    0.19922E+00   -0.20234E+01
    61    0.16081E+04    0.20924E+00   -0.23359E+01
    62    0.16301E+04    0.21959E+00   -0.26610E+01
    63    0.16523E+04    0.23023E+00   -0.29998E+01
    64    0.16749E+04    0.24116E+00   -0.33536E+01
    65    0.16974E+04    0.25235E+00   -0.37230E+01
    66    0.17204E+04    0.26375E+00   -0.41064E+01
    67    0.17434E+04    0.27535E+00   -0.45008E+01
    68    0.17669E+04    0.28718E+00   -0.49045E+01
    69    0.17906E+04    0.29922E+00   -0.53156E+01
    70    0.18146E+04    0.31151E+00   -0.57356E+01
    71    0.18387E+04    0.32402E+00   -0.61668E+01
    72    0.18630E+04    0.33675E+00   -0.66107E+01
    73    0.18874E+04    0.34964E+00   -0.70679E+01
    74    0.19121E+04    0.36270E+00   -0.75378E+01
    75    0.19371E+04    0.37592E+00   -0.80188E+01
    76    0.19623E+04    0.38932E+00   -0.85105E+01
    77    0.19878E+04    0.40289E+00   -0.90127E+01
    78    0.20138E+04    0.41664E+00   -0.95266E+01
    79    0.20399E+04    0.43053E+00   -0.10049E+02
    80    0.20662E+04    0.44455E+00   -0.10580E+02
    81    0.20928E+04    0.45866E+00   -0.11121E+02
    82    0.21196E+04    0.47289E+00   -0.11672E+02
    83    0.21466E+04    0.48719E+00   -0.12230E+02
    84    0.21738E+04    0.50158E+00   -0.12795E+02
    85    0.22012E+04    0.51603E+00   -0.13368E+02
    86    0.22288E+04    0.53054E+00   -0.13947E+02
    87    0.22567E+04    0.54509E+00   -0.14532E+02
    88    0.22847E+04    0.55970E+00   -0.15122E+02
    89    0.23130E+04    0.57435E+00   -0.15720E+02
    90    0.23416E+04    0.58899E+00   -0.16322E+02
    91    0.23702E+04    0.60364E+00   -0.16930E+02
    92    0.23992E+04    0.61826E+00   -0.17542E+02
    93    0.24284E+04    0.63285E+00   -0.18159E+02
    94    0.24577E+04    0.64739E+00   -0.18780E+02
    95    0.24873E+04    0.66186E+00   -0.19404E+02
    96    0.25168E+04    0.67625E+00   -0.20032E+02
    97    0.25468E+04    0.69056E+00   -0.20662E+02
    98    0.25770E+04    0.70476E+00   -0.21293E+02
    99    0.26073E+04    0.71884E+00   -0.21927E+02
   100    0.26379E+04    0.73278E+00   -0.22560E+02
   101    0.26686E+04    0.74665E+00   -0.23195E+02
   102    0.26998E+04    0.76030E+00   -0.23830E+02
   103    0.27309E+04    0.77380E+00   -0.24466E+02
   104    0.27623E+04    0.78716E+00   -0.25099E+02
   105    0.27938E+04    0.80030E+00   -0.25731E+02
   106    0.28255E+04    0.81330E+00   -0.26362E+02
   107    0.28572E+04    0.82600E+00   -0.26989E+02
   108    0.28892E+04    0.83849E+00   -0.27615E+02
   109    0.29213E+04    0.85070E+00   -0.28237E+02
   110    0.29536E+04    0.86261E+00   -0.28854E+02
   111    0.29860E+04    0.87431E+00   -0.29467E+02
   112    0.30185E+04    0.88572E+00   -0.30075E+02
   113    0.30512E+04    0.89684E+00   -0.30678E+02
   114    0.30841E+04    0.90761E+00   -0.31274E+02
   115    0.31171E+04    0.91816E+00   -0.31864E+02
   116    0.31501E+04    0.92827E+00   -0.32446E+02
   117    0.31835E+04    0.93803E+00   -0.33020E+02
   118    0.32169E+04    0.94757E+00   -0.33587E+02
   119    0.32504E+04    0.95676E+00   -0.34144E+02
   120    0.32840E+04    0.96543E+00   -0.34691E+02
   121    0.33176E+04    0.97390E+00   -0.35228E+02
   122    0.33512E+04    0.98186E+00   -0.35755E+02
   123    0.33849E+04    0.98939E+00   -0.36271E+02
   124    0.34187E+04    0.99655E+00   -0.36774E+02
   125    0.34525E+04    0.10033E+01   -0.37266E+02
   126    0.34863E+04    0.10097E+01   -0.37746E+02
   127    0.35201E+04    0.10155E+01   -0.38212E+02
   128    0.35539E+04    0.10211E+01   -0.38666E+02
   129    0.35877E+04    0.10261E+01   -0.39105E+02
   130    0.36215E+04    0.10306E+01   -0.39529E+02
   131    0.36553E+04    0.10347E+01   -0.39939E+02
   132    0.36892E+04    0.10384E+01   -0.40332E+02
   133    0.37230E+04    0.10416E+01   -0.40712E+02
   134    0.37567E+04    0.10444E+01   -0.41073E+02
   135    0.37905E+04    0.10467E+01   -0.41418E+02
   136    0.38240E+04    0.10485E+01   -0.41743E+02
   137    0.38576E+04    0.10498E+01   -0.42052E+02
   138    0.38911E+04    0.10507E+01   -0.42342E+02
   139    0.39243E+04    0.10512E+01   -0.42613E+02
   140    0.39576E+04    0.10511E+01   -0.42865E+02
   141    0.39907E+04    0.10505E+01   -0.43096E+02
   142    0.40238E+04    0.10495E+01   -0.43308E+02
   143    0.40568E+04    0.10481E+01   -0.43500E+02
   144    0.40895E+04    0.10462E+01   -0.43671E+02
   145    0.41222E+04    0.10439E+01   -0.43821E+02
   146    0.41548E+04    0.10410E+01   -0.43950E+02
   147    0.41872E+04    0.10378E+01   -0.44056E+02
   148    0.42193E+04    0.10341E+01   -0.44141E+02
   149    0.42514E+04    0.10300E+01   -0.44204E+02
   150    0.42832E+04    0.10255E+01   -0.44241E+02
   151    0.43149E+04    0.10206E+01   -0.44257E+02
   152    0.43462E+04    0.10152E+01   -0.44250E+02
   153    0.43775E+04    0.10095E+01   -0.44217E+02
   154    0.44085E+04    0.10034E+01   -0.44161E+02
   155    0.44392E+04    0.99691E+00   -0.44080E+02
   156    0.44697E+04    0.99011E+00   -0.43976E+02
   157    0.45000E+04    0.98295E+00   -0.43846E+02
   158    0.45300E+04    0.97553E+00   -0.43692E+02
   159    0.45598E+04    0.96767E+00   -0.43512E+02
   160    0.45893E+04    0.95954E+00   -0.43307E+02
   161    0.46186E+04    0.95120E+00   -0.43076E+02
   162    0.46476E+04    0.94251E+00   -0.42821E+02
   163    0.46764E+04    0.93354E+00   -0.42539E+02
   164    0.47048E+04    0.92437E+00   -0.42233E+02
   165    0.47330E+04    0.91492E+00   -0.41899E+02
   166    0.47609E+04    0.90534E+00   -0.41540E+02
