#    L    TT             EE             TE             PP             TP          
     1    0.11216E+04    0.00000E+00    0.00000E+00    0.41464E+06    0.19588E+05
     2    0.11303E+04    0.54881E-01    0.33975E+01    0.10135E+07    0.32052E+05
     3    0.10520E+04    0.88313E-01    0.42488E+01    0.15599E+07    0.38019E+05
     4    0.97943E+03    0.97755E-01    0.43572E+01    0.20437E+07    0.40760E+05
     5    0.92351E+03    0.85339E-01    0.40266E+01    0.24701E+07    0.41796E+05
     6    0.88286E+03    0.62030E-01    0.34917E+01    0.28458E+07    0.41888E+05
     7    0.85454E+03    0.38882E-01    0.29011E+01    0.31784E+07    0.41465E+05
     8    0.83534E+03    0.22214E-01    0.23453E+01    0.34739E+07    0.40711E+05
     9    0.82313E+03    0.13102E-01    0.18704E+01    0.37377E+07    0.39724E+05
    10    0.81633E+03    0.94193E-02    0.15012E+01    0.39734E+07    0.38603E+05
    11    0.81338E+03    0.82926E-02    0.12457E+01    0.41855E+07    0.37473E+05
    12    0.81438E+03    0.77399E-02    0.11013E+01    0.43757E+07    0.36392E+05
    13    0.81756E+03    0.69109E-02    0.10437E+01    0.45465E+07    0.35367E+05
    14    0.82197E+03    0.60053E-02    0.10440E+01    0.47004E+07    0.34389E+05
    15    0.82787E+03    0.53140E-02    0.10832E+01    0.48391E+07    0.33426E+05
    16    0.83565E+03    0.50432E-02    0.11456E+01    0.49640E+07    0.32455E+05
    17    0.84520E+03    0.51886E-02    0.12161E+01    0.50766E+07    0.31503E+05
    18    0.85558E+03    0.55084E-02    0.12831E+01    0.51782E+07    0.30598E+05
    19    0.86760E+03    0.58698E-02    0.13412E+01    0.52696E+07    0.29735E+05
    20    0.87960E+03    0.62506E-02    0.13855E+01    0.53513E+07    0.28898E+05
    21    0.89191E+03    0.66954E-02    0.14220E+01    0.54244E+07    0.28082E+05
    22    0.90481E+03    0.73364E-02    0.14571E+01    0.54899E+07    0.27287E+05
    23    0.91809E+03    0.82282E-02    0.14923E+01    0.55484E+07    0.26519E+05
    24    0.93183E+03    0.93666E-02    0.15284E+01    0.56002E+07    0.25786E+05
    25    0.94596E+03    0.10761E-01    0.15673E+01    0.56460E+07    0.25090E+05
    26    0.96029E+03    0.12379E-01    0.16114E+01    0.56862E+07    0.24426E+05
    27    0.97505E+03    0.14178E-01    0.16579E+01    0.57215E+07    0.23789E+05
    28    0.99009E+03    0.16145E-01    0.17040E+01    0.57521E+07    0.23175E+05
    29    0.10055E+04    0.18288E-01    0.17477E+01    0.57781E+07    0.22587E+05
    30    0.10211E+04    0.20624E-01    0.17858E+01    0.57997E+07    0.22030E+05
    31    0.10369E+04    0.23140E-01    0.18162E+01    0.58173E+07    0.21499E+05
    32    0.10530E+04    0.25807E-01    0.18364E+01    0.58315E+07    0.20985E+05
    33    0.10695E+04    0.28638E-01    0.18437E+01    0.58426E+07    0.20484E+05
    34    0.10862E+04    0.31662E-01    0.18375E+01    0.58506E+07    0.19993E+05
    35    0.11030E+04    0.34901E-01    0.18219E+01    0.58558E+07    0.19513E+05
    36    0.11200E+04    0.38375E-01    0.17999E+01    0.58585E+07    0.19046E+05
    37    0.11370E+04    0.42077E-01    0.17676E+01    0.58587E+07    0.18602E+05
    38    0.11545E+04    0.46004E-01    0.17227E+01    0.58566E+07    0.18187E+05
    39    0.11724E+04    0.50167E-01    0.16673E+01    0.58524E+07    0.17795E+05
    40    0.11904E+04    0.54586E-01    0.16044E+01    0.58463E+07    0.17417E+05
    41    0.12086E+04    0.59284E-01    0.15358E+01    0.58382E+07    0.17047E+05
    42    0.12268E+04    0.64259E-01    0.14596E+01    0.58283E+07    0.16685E+05
    43    0.12452E+04    0.69510E-01    0.13729E+01    0.58168E+07    0.16331E+05
    44    0.12635E+04    0.75017E-01    0.12739E+01    0.58037E+07    0.15988E+05
    45    0.12822E+04    0.80772E-01    0.11607E+01    0.57893E+07    0.15657E+05
    46    0.13012E+04    0.86771E-01    0.10302E+01    0.57735E+07    0.15339E+05
    47    0.13203E+04    0.93017E-01    0.88405E+00    0.57565E+07    0.15032E+05
    48    0.13396E+04    0.99522E-01    0.72805E+00    0.57384E+07    0.14734E+05
    49    0.13590E+04    0.10627E+00    0.56722E+00    0.57193E+07    0.14443E+05
    50    0.13787E+04    0.11325E+00    0.39985E+00    0.56992E+07    0.14156E+05
    51    0.13987E+04    0.12044E+00    0.22240E+00    0.56783E+07    0.13872E+05
    52    0.14191E+04    0.12791E+00    0.29641E-01    0.56565E+07    0.13593E+05
    53    0.14394E+04    0.13581E+00   -0.18221E+00    0.56339E+07    0.13321E+05
    54    0.14597E+04    0.14413E+00   -0.40898E+00    0.56107E+07    0.13060E+05
    55    0.14801E+04    0.15284E+00   -0.64638E+00    0.55867E+07    0.12811E+05
    56    0.15009E+04    0.16179E+00   -0.89619E+00    0.55622E+07    0.12577E+05
    57    0.15220E+04    0.17088E+00   -0.11582E+01    0.55371E+07    0.12357E+05
    58    0.15434E+04    0.18012E+00   -0.14331E+01    0.55114E+07    0.12146E+05
    59    0.15649E+04    0.18955E+00   -0.17214E+01    0.54852E+07    0.11944E+05
    60    0.15866E+04    0.19923E+00   -0.20223E+01    0.54585E+07    0.11746E+05
    61    0.16087E+04    0.20925E+00   -0.23348E+01    0.54314E+07    0.11552E+05
    62    0.16307E+04    0.21959E+00   -0.26599E+01    0.54039E+07    0.11360E+05
    63    0.16529E+04    0.23023E+00   -0.29987E+01    0.53760E+07    0.11170E+05
    64    0.16754E+04    0.24116E+00   -0.33524E+01    0.53478E+07    0.10981E+05
    65    0.16980E+04    0.25236E+00   -0.37219E+01    0.53193E+07    0.10793E+05
    66    0.17209E+04    0.26375E+00   -0.41053E+01    0.52906E+07    0.10606E+05
    67    0.17439E+04    0.27535E+00   -0.44997E+01    0.52617E+07    0.10421E+05
    68    0.17674E+04    0.28719E+00   -0.49033E+01    0.52327E+07    0.10241E+05
    69    0.17911E+04    0.29923E+00   -0.53144E+01    0.52035E+07    0.10066E+05
    70    0.18151E+04    0.31151E+00   -0.57344E+01    0.51742E+07    0.98993E+04
    71    0.18392E+04    0.32403E+00   -0.61656E+01    0.51448E+07    0.97413E+04
    72    0.18635E+04    0.33675E+00   -0.66095E+01    0.51153E+07    0.95913E+04
    73    0.18879E+04    0.34965E+00   -0.70668E+01    0.50857E+07    0.94482E+04
    74    0.19126E+04    0.36270E+00   -0.75366E+01    0.50560E+07    0.93106E+04
    75    0.19375E+04    0.37593E+00   -0.80177E+01    0.50262E+07    0.91772E+04
    76    0.19627E+04    0.38933E+00   -0.85093E+01    0.49963E+07    0.90469E+04
    77    0.19883E+04    0.40289E+00   -0.90114E+01    0.49664E+07    0.89190E+04
    78    0.20142E+04    0.41664E+00   -0.95254E+01    0.49365E+07    0.87928E+04
    79    0.20403E+04    0.43053E+00   -0.10047E+02    0.49065E+07    0.86678E+04
    80    0.20667E+04    0.44455E+00   -0.10579E+02    0.48765E+07    0.85434E+04
    81    0.20932E+04    0.45867E+00   -0.11120E+02    0.48466E+07    0.84192E+04
    82    0.21200E+04    0.47289E+00   -0.11670E+02    0.48166E+07    0.82958E+04
    83    0.21470E+04    0.48720E+00   -0.12229E+02    0.47868E+07    0.81738E+04
    84    0.21742E+04    0.50159E+00   -0.12794E+02    0.47569E+07    0.80540E+04
    85    0.22016E+04    0.51603E+00   -0.13367E+02    0.47272E+07    0.79372E+04
    86    0.22291E+04    0.53055E+00   -0.13946E+02    0.46975E+07    0.78239E+04
    87    0.22571E+04    0.54510E+00   -0.14530E+02    0.46680E+07    0.77140E+04
    88    0.22851E+04    0.55971E+00   -0.15121E+02    0.46385E+07    0.76073E+04
    89    0.23134E+04    0.57435E+00   -0.15719E+02    0.46091E+07    0.75036E+04
    90    0.23419E+04    0.58900E+00   -0.16321E+02    0.45799E+07    0.74025E+04
    91    0.23706E+04    0.60364E+00   -0.16929E+02    0.45507E+07    0.73040E+04
    92    0.23995E+04    0.61826E+00   -0.17541E+02    0.45217E+07    0.72078E+04
    93    0.24288E+04    0.63286E+00   -0.18158E+02    0.44928E+07    0.71139E+04
    94    0.24580E+04    0.64739E+00   -0.18779E+02    0.44641E+07    0.70222E+04
    95    0.24876E+04    0.66186E+00   -0.19403E+02    0.44355E+07    0.69327E+04
    96    0.25172E+04    0.67626E+00   -0.20031E+02    0.44070E+07    0.68452E+04
    97    0.25471E+04    0.69056E+00   -0.20661E+02    0.43786E+07    0.67597E+04
    98    0.25774E+04    0.70477E+00   -0.21292E+02    0.43504E+07    0.66761E+04
    99    0.26076E+04    0.71885E+00   -0.21926E+02    0.43224E+07    0.65943E+04
   100    0.26382E+04    0.73279E+00   -0.22559E+02    0.42945E+07    0.65143E+04
   101    0.26689E+04    0.74666E+00   -0.23194E+02    0.42667E+07    0.64359E+04
   102    0.27001E+04    0.76030E+00   -0.23829E+02    0.42391E+07    0.63591E+04
   103    0.27312E+04    0.77381E+00   -0.24464E+02    0.42117E+07    0.62839E+04
   104    0.27626E+04    0.78717E+00   -0.25098E+02    0.41844E+07    0.62101E+04
   105    0.27941E+04    0.80031E+00   -0.25730E+02    0.41573E+07    0.61376E+04
   106    0.28258E+04    0.81331E+00   -0.26361E+02    0.41303E+07    0.60664E+04
   107    0.28574E+04    0.82601E+00   -0.26988E+02    0.41035E+07    0.59965E+04
   108    0.28894E+04    0.83850E+00   -0.27614E+02    0.40769E+07    0.59276E+04
   109    0.29216E+04    0.85070E+00   -0.28236E+02    0.40505E+07    0.58598E+04
   110    0.29538E+04    0.86262E+00   -0.28852E+02    0.40242E+07    0.57930E+04
   111    0.29862E+04    0.87432E+00   -0.29465E+02    0.39981E+07    0.57270E+04
   112    0.30187E+04    0.88573E+00   -0.30074E+02    0.39722E+07    0.56620E+04
   113    0.30514E+04    0.89685E+00   -0.30677E+02    0.39465E+07    0.55978E+04
   114    0.30843E+04    0.90762E+00   -0.31273E+02    0.39210E+07    0.55345E+04
   115    0.31173E+04    0.91817E+00   -0.31863E+02    0.38957E+07    0.54722E+04
   116    0.31503E+04    0.92828E+00   -0.32445E+02    0.38705E+07    0.54107E+04
   117    0.31836E+04    0.93804E+00   -0.33019E+02    0.38455E+07    0.53501E+04
   118    0.32171E+04    0.94758E+00   -0.33586E+02    0.38207E+07    0.52904E+04
   119    0.32506E+04    0.95677E+00   -0.34142E+02    0.37961E+07    0.52316E+04
   120    0.32842E+04    0.96544E+00   -0.34690E+02    0.37717E+07    0.51737E+04
   121    0.33177E+04    0.97391E+00   -0.35227E+02    0.37475E+07    0.51167E+04
   122    0.33514E+04    0.98187E+00   -0.35754E+02    0.37234E+07    0.50606E+04
   123    0.33851E+04    0.98939E+00   -0.36270E+02    0.36995E+07    0.50053E+04
   124    0.34189E+04    0.99656E+00   -0.36773E+02    0.36758E+07    0.49510E+04
   125    0.34526E+04    0.10033E+01   -0.37265E+02    0.36523E+07    0.48976E+04
   126    0.34865E+04    0.10097E+01   -0.37745E+02    0.36290E+07    0.48451E+04
   127    0.35203E+04    0.10156E+01   -0.38212E+02    0.36058E+07    0.47934E+04
   128    0.35540E+04    0.10211E+01   -0.38665E+02    0.35829E+07    0.47427E+04
   129    0.35879E+04    0.10261E+01   -0.39104E+02    0.35601E+07    0.46929E+04
   130    0.36217E+04    0.10306E+01   -0.39528E+02    0.35375E+07    0.46439E+04
   131    0.36555E+04    0.10347E+01   -0.39938E+02    0.35151E+07    0.45959E+04
   132    0.36894E+04    0.10384E+01   -0.40332E+02    0.34929E+07    0.45487E+04
   133    0.37231E+04    0.10416E+01   -0.40711E+02    0.34708E+07    0.45024E+04
   134    0.37569E+04    0.10444E+01   -0.41072E+02    0.34490E+07    0.44569E+04
   135    0.37906E+04    0.10467E+01   -0.41417E+02    0.34273E+07    0.44122E+04
   136    0.38242E+04    0.10485E+01   -0.41743E+02    0.34058E+07    0.43683E+04
   137    0.38577E+04    0.10498E+01   -0.42051E+02    0.33844E+07    0.43251E+04
   138    0.38912E+04    0.10507E+01   -0.42341E+02    0.33633E+07    0.42826E+04
   139    0.39245E+04    0.10512E+01   -0.42612E+02    0.33423E+07    0.42407E+04
   140    0.39578E+04    0.10511E+01   -0.42864E+02    0.33215E+07    0.41996E+04
   141    0.39908E+04    0.10505E+01   -0.43096E+02    0.33009E+07    0.41590E+04
